Entry name,Start Date,End Date,Region,In trance possession:,Through divination practices:,Through divination processes:,Is a spirit-body distinction present:,Other spirit-body relationship:,Spirit distinct powers:,Spirit non-material:,Belief in afterlife:
Postsocialist Mongolian Shamanism,1990,2020,Contemporay Mongolia,yes,unk,yes,yes,yes,yes,yes,yes
Korean shamanism,1800,2020,South Korea,yes,yes,yes,yes,unk,yes,unk,yes
Transcultural Shamanism,1,2026,?,unk,unk,unk,unk,unk,unk,unk,unk
Tyva Republic (Animism-Totemism-Shamanism),1990,2013,Tyva Republic,unk,unk,unk,unk,unk,unk,unk,unk
Central Andes Formative Period Religion,-1800,0,Central Andes,unk,unk,unk,unk,unk,unk,unk,unk
Philosophy and Ritual Practice of Witchcraft as Female-Centric Religion,1960,2021,Managing,unk,unk,unk,unk,unk,unk,unk,unk
Tibetan and Himalayan Mundane and Landscape Cults,600,2020,Tibet and the Himalayas,yes,yes,yes,yes,yes,yes,yes,yes
Micronesia,-1700,1945,Pacific Ocean,unk,unk,unk,unk,unk,unk,unk,unk
Havasupai,1893,1921,"Havasupai Reservation, 1918",unk,unk,unk,yes,unk,unk,unk,yes
Formative Olmec,-1500,-400,"Gulf Coast of Mexico, Southeast Mexico",unk,unk,unk,yes,unk,unk,unk,yes
Chukchee,1885,1910,"Reindeer division of the Chukchee, Northeastern Russia",unk,unk,unk,yes,unk,unk,unk,yes
Chamanisme transculturel,1979,2026,"New France, Atlantic and St. Lawrence Region",unk,unk,unk,unk,unk,unk,unk,unk
Bhils,1700,2020,Western India,yes,yes,yes,yes,unk,yes,unk,yes
Vietnamese popular religion,0,2025,Vietnam,yes,yes,yes,yes,unk,yes,unk,yes
Batak Traditional Religions,1600,2020,North Sumatra,yes,yes,yes,yes,unk,yes,unk,yes
Mescalero Apache,1200,2026,Historic Mescalero Apache Territory,unk,unk,unk,unk,unk,unk,unk,unk
Twana,1845,1875,Twana (Southern Coast Salish) Territory ca. 1860,unk,unk,unk,yes,unk,yes,yes,yes
Postsocialist Mongolian Buddhism,1990,2020,Mongolia,yes,unk,unk,yes,unk,yes,yes,yes
Atheism in the Soviet Union,1917,1991,The Russian Empire (2),unk,unk,unk,no,unk,unk,unk,no
Bön (Bon),1000,2020,Tibet and the Himalayas,yes,yes,yes,yes,yes,yes,yes,yes
The Cult of Chinggis Khan (a.k.a. Genghis Khan) in Mongolia,1227,2023,Mongolian-speaking region (East and North),unk,unk,unk,yes,yes,yes,yes,unk
Tibeto-Vietnamese Đạo Mẫu,2022,2024,"Phú Hòa Đông, Củ Chi, Hồ Chí Minh City",yes,yes,yes,yes,no,yes,yes,yes
Moravian Missionaries in Nunatsiavut,1752,2020,Nunatsiavut and Labrador,no,no,unk,yes,unk,yes,unk,yes
Pantheism/Animism,-30000,2021,Prehistoric Europe and Southwest Asia,unk,unk,unk,unk,unk,unk,unk,unk
Moche,200,900,North Coast of Peru,unk,unk,unk,yes,unk,unk,unk,yes
Western Zhou (1045 BCE - 771 BCE),-1045,-771,Western Zhou (based on Li Feng),yes,yes,yes,yes,yes,yes,no,yes
Eyak,1880,1910,Copper River Delta,unk,unk,unk,yes,unk,unk,yes,unk
"Costumbrismo [Chiapas], Folk Catholicism [Chiapas], Folk Mayan Catholicism [Chiapas]",1950,2020,Chiapas,unk,unk,unk,unk,unk,unk,unk,unk
Spiritualism,1848,2020,North Atlantic Spiritualism,yes,no,no,yes,unk,yes,yes,yes
